Wilayah,Kecamatan,Kelurahan,Frekuensi
Jakarta Pusat,Kemayoran,Serdang,1
Jakarta Pusat,Kemayoran,Kemayoran,1
Jakarta Pusat,Johar Baru,Tanah Tinggi,1
Jakarta Pusat,Senen,Kramat,2
Jakarta Pusat,Sawah Besar,Karang Anyar,1
Jakarta Pusat,Tanah Abang,Petamburan,3
Jakarta Pusat,Menteng,Kebon Sirih,3
Jakarta Pusat,Senen,Kenari,1
Jakarta Pusat,Kemayoran,Sumur Baru,2
Jakarta Pusat,Johar Baru,Kampung Rawa,1
Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,1
Jakarta Barat,Cengkareng,Kedaung Kali Angke,3
Jakarta Barat,Kalideres,Pegadungan,2
Jakarta Barat,Kebon Jeruk,Duri Kepa,2
Jakarta Barat,Kalideres,Semanan,4
Jakarta Barat,Cengkareng,Cengkareng Timur,2
Jakarta Barat,Kebon Jeruk,Sukabumi Utara,2
Jakarta Barat,Cengkareng,Duri Kosambi,3
Jakarta Barat,Kebon Jeruk,Kelapa Dua,2
Jakarta Barat,Palmerah,Kemanggisan,3
Jakarta Barat,Palmerah,Kota Bambu Selatan,3
Jakarta Barat,Kembangan,Kembangan Utara,3
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,3
Jakarta Barat,Grogol Petamburan,Jelambar Baru,2
Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,2
Jakarta Barat,Taman Sari,Pinangsia,1
Jakarta Barat,Cengkareng,Kapuk,2
Jakarta Barat,Palmerah,Kota Bambu Utara,1
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,3
Jakarta Barat,Cengkareng,Cengkareng Barat,2
Jakarta Barat,Palmerah,Jati Pulo,2
Jakarta Barat,Kembangan,Meruya Selatan,3
Jakarta Barat,Kalideres,Kamal,2
Jakarta Barat,Grogol Petamburan,Jelambar,1
Jakarta Barat,Kembangan,Kembangan Selatan,3
Jakarta Barat,Cengkareng,Rawa Buaya,2
Jakarta Barat,Cengkareng,Duri Kesambi,3
Jakarta Barat,Kalideres,Tegal Alur,3
